id,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,target
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,0,0,21,0,0,0,0,0,0,Class_2
1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class_1
2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,1,0,5,2,1,1,0,1,0,2,0,0,0,0,19,2,0,1,7,3,0,0,0,1,0,0,0,0,13,2,0,Class_1
3,0,0,0,0,0,0,0,3,0,0,0,0,0,1,7,11,1,0,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,Class_4
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,Class_2
5,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Class_2
6,0,0,0,1,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,3,0,0,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,Class_1
7,0,0,0,2,0,0,3,0,0,6,0,3,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0,0,8,0,0,0,1,0,0,0,0,2,0,0,Class_2
8,0,1,0,0,0,0,0,0,15,0,0,0,0,0,0,3,0,0,1,0,0,7,0,4,0,0,0,0,12,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Class_2
9,0,0,1,0,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0,0,1,0,0,1,2,0,0,3,0,0,0,0,0,1,0,0,1,6,0,2,1,0,0,0,0,0,0,1,0,Class_4
10,0,0,0,7,14,0,0,0,0,0,0,2,0,0,6,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,1,4,0,0,0,0,0,0,0,Class_2
11,1,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,1,2,0,Class_4
12,0,0,0,0,4,0,7,0,0,0,0,0,1,1,2,0,4,0,2,0,0,0,0,0,10,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,1,12,0,0,1,0,0,0,3,Class_3
13,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,Class_4
14,9,0,0,1,0,0,0,0,0,0,2,1,0,0,0,5,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0,3,0,Class_3
15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Class_1
16,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,5,0,2,0,0,0,0,1,0,1,0,1,0,1,0,0,7,0,0,1,0,0,1,13,0,0,1,0,0,0,0,0,0,2,0,Class_3
17,0,0,0,0,0,0,0,13,0,0,0,1,2,0,3,0,0,0,0,28,0,1,0,0,0,0,0,0,1,0,0,16,0,0,0,0,1,0,16,0,0,0,0,1,0,1,0,0,0,1,Class_2
18,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,7,0,4,7,0,0,0,0,0,0,1,0,Class_2
19,0,0,0,1,14,0,1,0,21,1,0,3,0,0,3,3,0,0,2,0,0,0,0,0,0,3,0,0,5,0,1,0,4,0,0,7,0,0,2,1,0,0,0,0,0,0,0,0,0,0,Class_2
20,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,7,0,0,0,0,1,1,16,0,0,0,1,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,1,0,Class_2
21,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,2,0,0,2,0,0,0,0,6,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,7,0,Class_3
22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,11,0,14,0,0,2,13,3,0,0,0,0,0,0,0,2,0,Class_2
23,0,6,0,0,0,0,0,0,10,0,0,0,2,0,6,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,1,Class_2
24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,10,Class_2
25,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,2,0,0,0,0,3,0,0,1,0,0,0,0,0,0,4,Class_4
26,1,2,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Class_2
27,0,0,0,0,0,0,0,3,0,1,1,2,0,0,3,2,0,6,1,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Class_2
28,0,0,0,0,0,0,0,0,5,0,0,5,1,0,16,1,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,Class_2
29,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,4,0,0,0,10,0,0,2,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,Class_3
30,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,4,0,0,3,13,0,0,0,0,0,0,4,3,8,0,0,0,4,1,0,0,3,0,0,1,2,0,0,0,0,0,0,0,Class_2
31,1,0,0,2,0,0,2,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Class_4
32,0,0,0,3,0,0,1,1,0,0,0,1,3,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3,0,1,Class_2
33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,1,0,9,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,Class_1
34,0,0,0,0,0,0,0,1,0,1,0,0,0,0,8,0,0,11,1,7,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Class_2
35,2,0,0,9,0,0,10,5,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,Class_2
36,0,2,0,0,0,0,0,3,0,1,5,0,0,0,2,2,0,0,0,1,0,0,0,0,3,1,0,0,2,0,1,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,Class_1
37,0,0,0,2,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,2,0,0,1,4,0,0,6,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,0,0,0,0,0,0,Class_3
38,0,0,1,0,0,0,0,0,0,0,3,1,0,0,14,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,1,0,0,0,0,1,0,0,5,0,0,0,1,0,0,0,0,1,1,0,Class_2
39,0,0,0,12,0,0,0,0,23,0,0,1,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,3,0,1,1,0,0,0,0,14,0,0,1,Class_2
